id,time,group,weight
48,14,B,203
48,28,B,221
48,42,B,236
48,56,B,248
48,70,B,262
48,84,B,276
48,98,B,294
48,112,B,291
48,126,B,311
48,133,B,310
49,0,B,238
49,14,B,232
49,28,B,252
49,42,B,268
49,56,B,285
49,70,B,298
49,84,B,303
49,98,B,320
49,112,B,324
49,126,B,320
49,133,B,327
50,0,B,230
50,14,B,222
50,28,B,243
50,42,B,253
50,56,B,268
50,70,B,284
50,84,B,290
50,98,B,316
50,112,B,314
50,126,B,330
50,133,B,330
51,0,B,217
51,14,B,224
51,28,B,242
51,42,B,265
51,56,B,284
51,70,B,302
51,84,B,309
51,98,B,324
51,112,B,328
51,126,B,338
51,133,B,334
52,0,B,209
52,14,B,209
52,28,B,221
52,42,B,238
52,56,B,256
52,70,B,267
52,84,B,281
52,98,B,295
52,112,B,301
52,126,B,309
52,133,B,289
53,0,B,224
53,14,B,227
53,28,B,245
53,42,B,267
53,56,B,279
53,70,B,294
53,84,B,312
53,98,B,328
53,112,B,329
53,126,B,297
53,133,B,297
54,0,B,230
54,14,B,231
54,28,B,244
54,42,B,261
54,56,B,272
54,70,B,283
54,84,B,294
54,98,B,318
54,112,B,320
54,126,B,333
54,133,B,338
55,0,B,216
55,14,B,218
55,28,B,223
55,42,B,243
55,56,B,259
55,70,B,270
55,84,B,270
55,98,B,290
55,112,B,301
55,126,B,314
55,133,B,297
56,0,B,231
56,14,B,239
56,28,B,254
56,42,B,276
56,56,B,294
56,70,B,304
56,84,B,317
56,98,B,335
56,112,B,333
56,126,B,319
56,133,B,307
57,0,B,207
57,14,B,216
57,28,B,228
57,42,B,255
57,56,B,275
57,70,B,285
57,84,B,296
57,98,B,314
57,112,B,319
57,126,B,330
57,133,B,330
58,0,B,227
58,14,B,236
58,28,B,251
58,42,B,264
58,56,B,276
58,70,B,287
58,84,B,297
58,98,B,315
58,112,B,309
58,126,B,313
58,133,B,294
59,0,B,221
59,14,B,232
59,28,B,251
59,42,B,274
59,56,B,284
59,70,B,295
59,84,B,300
59,98,B,323
59,112,B,319
59,126,B,333
59,133,B,322
60,0,B,233
60,14,B,238
60,28,B,254
60,42,B,266
60,56,B,282
60,70,B,294
60,84,B,295
60,98,B,310
60,112,B,320
60,126,B,327
60,133,B,326
